Title,Author,Category
Wolf Hall,Hilary Mantel,Fiction
Life of Pi,Yan Martel,Fiction
Eleven Town,John Paul Clearey,Fiction
Stonemouth,Iain Banks,Fiction
Narcopolis,Jeet Thayil,Fiction
The Yellow House,Martin Gayford,Reference
A Weekend With Claude,Beryl Bainbridge,Fiction
With a Little Help From My Friends,Cory Doctorow,Fiction
Facts are Sacred,Simon Rogers,Reference
Sweet Tooth,Ian McEwan,Fiction
Solar,Ian McEwan,Fiction
The Comfort of Strangers,Ian McEwan,Fiction
Attonement,Ian McEwan,Fiction
Programming The Raspberry Pi: Getting Started with Python,Simon Monk,Reference
The Fault In Our Stars,John Green,Fiction
Our Man In Havana,Graham Greene,Fiction
Collected Short Stories Vol 1,Somerset Maugham,Fiction
Freakonomics,Steven Levitt,Reference
To Have and Have Not,Ernest Hemingway,Fiction
For Whom the Bell Tolls,Ernest Hemingway,Fiction
The Quiiet American,Graham Greene,Fiction
The Old Man and the Sea,Ernest Hemingway,Fiction
Death In The Afternoon,Ernest Hemingway,Fiction
Brave New World,Aldous Huxley,Fiction
Exit Music,Ian Rankin,Fiction
Standing in Another Man's Grave,Ian Rankin,Fiction
The Great Gatsby,F Scott Fitzgerald,Fiction
Gillespie And I,Jane Harris,Fiction
Saints of The Shadow Bible,Ian Rankin,Fiction
Red Herring,Leslie Tarr,Fiction
Dominion,CJ Sansom,Fiction
