Title,Author,ISBN,Pages,Category
Henry VIII's Wives: History in an Hour,Julie Wheeler,na,,Reference
The Cement Garden,Ian McEwan,978-0099755111,160,Fiction
The Narrow Road To The Deep North,Richard Flanagan,978-0099593584,464,Fiction
Low Down,A J Albany,978-1935639763,176,Biography
The Miniaturist,Jessie Burton,978-1447250937,448,Fiction
Linchpin,Seth Godin,978-0749953652,256,Reference
APIs For Dummies,Ashby and Jensen,978-1119457138,44,Reference
Amsterdam,Ian McEwan,978-0099272779,192,Fiction
Bring Up The Bodies,Hilary Mantel,978-0008366766,432,Fiction
The Blackwater Lightship,Colm Toibin,978-0330389860,288,Fiction
The Heart of the Matter,Graham Greene,978-0099478423,288,Fiction
H Is For Hawk,Helen McDonald,978-1784701444,320,Biography
Nora Webster,Colm Toibin,978-0141041759,320,Fiction
Work Rules,Laszlo Bock,978-1444792386,416,Reference
The Psychopath  Test,John Ronson,978-0330492270,304,Reference
The Yellow Wallpaper ,Charlotte Perkins Gilman,na,64,Fiction
Mrs Rosie and The Priest ,Giovanni Boccaccio ,978-0141397825,64,Fiction
"Yes And: How Improvisation Reverses No, But. ",Kelly Leonard and Tom Yorton ,978-0062248541,256,Reference
The Axeman's Jazz,Ray Celestin,978-1447258889,464,Fiction
The End Of Nice,Richard Newton,na,88,Reference
Laidlaw,William Mcilvanney,978-1838856199,304,Fiction
Snowblind,Ragnar Jonasson,978-1910633038,300,Fiction
The Papers of Tony Veitch,William Mcilvanney,978-1838856229,320,Fiction
Street Photography For The Purist,Chris Weeks,na,160,Photography
Going Candid,Thomas Leuthard,na,,Photography
Collecting Souls,Thomas Leuthard ,na,,Photography
Street Faces,Thomas Leuthard,na,,Photography
Death Of  a Bebop Wife,Grange Rutan,978-1881993421,534,Biography
The Street Photographer's Manual,David Gibson ,978-0500545263,192,Photography
Humans Of New York ,Brandon Stanton,978-1447294252,320,Photography
Street Photography Now,Sophie Howarth & Stephen Mclaren,978-0500289075,240,Photography
Lets Explore Diabetes With Owls,David Sedaris,978-0349119427,288,Humour
Cutting For Stone,Abraham Verghese,978-0099443636,560,Fiction
Steal Like An Artist,Austin Kleon,978-0761169253,144,Reference
"The Long Shadow of The Little Giant: The Life, Work and Legacy of Tubby Hayes",Simon Spillett,978-1781795057,406,Biography
A Brief History of Seven Killings,Marlon James, 978-1780746357,706,Fiction
