Title,Author,ISBN,Pages,Subject,Format,Month,Monthly pages,YTD Pages
The Snowman,Jo Nesbo,978-1784704759,576,Novel,K,January,,
Stars and Bars,William Boyd,978-0141046921,352,Novel,K,January,,
Notes of a Dirty Old Man,Charles Bukowski,978-0753513828,208,Fiction,A,January,,
Shuggie Bain,Douglas Stuart,978-1529019278,448,Novel,H,January,1584,1584
The Illustrated Man,Ray Bradbury,978-0006479222,304,Novel,A,February,,
Gene Smith's Sink,Sam Stephenson,978-0374232153,208,Biography,H,February,,
Home,Nick Hedges,978-1908457615,156,Photography,H,February,,
Beyond Black,Hilary Mantel,978-0007157761,480,Novel,A,February,,
Word Perfect,Susie Dent,978-1529311518,416,Non Fiction,K,February,1564,3148
Collected Short Stories,Anton Chekhov,,208,Short Stories,A,March,,
Cities of the Red Night,William Burroughs,978-0141189932,352,Novel,A,March,,
An Ice Cream War,William Boyd,978-0241953563,416,Novel,K,March,,
Collected Poems,TS Eliot,978-0571105489,213,Poetry,A,March,,
The Kingdom,Jo Nesbo,978-1787300798,560,Novel,K,March,,
Tabby Hayes - The life Behind The Tenor,Mark Baxter,978-191691663,144,Biography,P,March,,
A Far Cry From Kensington,Muriel Spark,978-1846974427,192,Novel,A,March,,
A Pictorial Guide to Aberdeen (1909),ACC,978-0946920174,78,Non Fiction,P,March,2163,5311
Python Basics (v4),"Dan Vader, David Amos",978-1875093329,636,Non Fiction,P,April,,
Celebration 150 Years of the Music Hall,Edi Swan,978-0956326102,56,Non Fiction,P,April,,
Leonard and Hungry Paul,Ronan Hession,	978-1910422441,241,Novel,P,April,,
The Art of Statistics,David Spieglehalter,978-0241258767,448,Non Fiction,K,April,,
Celebrating Aberdeen's Beach Ballroom,Various,978-0946920198,172,Non Fiction,P,April,,
Sunset Song,Lewis Grassick Gibbon,978-1841957562,264,Novel,A,April,,
Beginners,Tom Vanderbilt,978-1786493095,320,Non Fiction,K,April,,
Klara and The Sun,Kazuo Ishiguro,978-0571364879,320,Novel,H,April,,
The English Patient,Michael Ondaatje,978-1526605900,336,Novel,A,April,2793,8104
Magnetic Field - The Marsden Poems,Simon Armitage,978-0571361458,120,Poetry,P,May,,
To the Lighthouse,Virginia Woolf,978-1847496577,240,Novel,A,May,,
Collected Poems (1966 - 1975),Seamus Heaney,978-0374516529,240,Poetry,A,May,,
Tales From Ovid,Ted Hughes,978-0571191031,288,Poetry,A,May,,
A Little History of Philosophy,Nigel Warburton,978-0300152081,288,Non Fiction,A,May,,
Spring Song and Other Stories,Joyce Carey,na,321,Short Stories,K,May,,
Never Let Me Go,Kazuo Ishiguro,978-0571258093,282,Novel,P,May,,
Walking Home,Simon Armitage,978-0571249893,304,Non Fiction,A,May,,
Paper Aeroplane,Simon Armitage,978-0571353392,232,Poetry,P,May,,
How to be Wrong,James O'Brien,978-0753557709,240,Non Fiction,K,May,,
The Remains of the Day,Kazuo Ishiguro,978-0571258246,272,Novel,A,May,,
"Blood, Milk, Heat",Dantiel Moniz,978-1838950583,208,Short Stories,K,May,,
Selected Poems,Ian Crichton Smith,085635-5976,122,Poetry,P,May,3157,11261
Kid,Simon Armitage,	978-0571166077,96,Poetry,P,June,,
Nights at the Circus,Angela Carter,978-0099388616,368,Novel,A,June,,
Master Georgie,Beryl Bainbridge,978-0349111698,224,Novel,K,June,,
All The Pretty Horses,Cormac Mccarthy,978-0330510936,320,Novel,A,June,,
Gig,Roger McGough,978-0224009249,58,Poetry,P,June,,
Out of The Blue,Simon Armitage, 978-1904634584,64,Poetry,P,June,,
Eight months on Ghazza Street,Hilary Mantel,978-0670821174,304,Novel,A,June,,
Bitter Orange,Claire Fuller,978-0241983461,288,Novel,K,June,,
Summer,Ali Smith,978-0241973370,400,Fiction,A,June,,
