Title,Author,ISBN,Pages,Subject,Category,Month Read
Ninety Wonderful Years,Margaret Johnston,na,200,Biography,H,Jan
Mudlarking ,Lara Maiklem,978-1408889237,336,Non-Fiction ,A,Jan
The Crossing,Cormac Macarthy,‎978-0330511247,448,Novel,A,Jan 
At Swim Two Birds,Flann O'Brien,‎978-0141182681,240,Novel ,K,Jan 
The Best Short Stories 2021: The O. Henry Prize Winners,various,‎978-0593311257,400,Fiction,A,Jan
The Book of Humans,Adam Rutherford,‎978-1780229089,272,Non-Fiction ,A,Jan
Both of You,Adele Parkes,‎978-0008440152,384,Novel,K,Jan
Raw Spirit,Iain Banks,‎978-0099460275,384,Non-Fiction ,A,Feb
I'm Sick and So Are You,Robin Ince,‎978-1786492616,288,Non-Fiction ,A,Feb
Cities of the Plain,Cormac Mccarthy ,978-0330511209,304,Novel,A,Feb
Rotters' Club,Jonathan Coe,‎978-0140294668,416,Novel,K,Feb
The Assault on Truth,Peter Oborne,‎978-1398501003,192,Non-Fiction ,K,Feb
The Dark Remains,William Macilvanney & Ian Rankin,‎978-1838854140,288,Novel,A,Feb
Down and Out in Paris and London ,George Orwell ,‎978-0008442668,256,Non-Fiction ,A,Feb
Jailbird,Kurt Vonnegut,978-0099999003,288,Novel,A,Feb
Light Perpetual,Francis Spufford,978-0571336494,336,Novel,K,Feb
An Artist of The Floating World,Kazuo Ishiguro,978-0571283873,208,Novel,A,Mar
Julius,Daphne Du Maurier,‎978-1844080687,320,Novel,A,Mar
The Wolf In The Woods,Dan Brotzel,‎978-1913207625,208,Novel,K,Mar
Here We Are,Graham Swift,‎978-1471188961,208,Novel,K,Mar
Urban Drawing,Phil Dean,978-1781577752,112,Non-Fiction ,P,Mar
The Thursday Murder Club,Richard Osman,978-0241988268,400,Novel,p,Mar
Nina Simone's Gum,Warren Ellis,978-0571365623,208,Non-Fiction,H,Mar
Ulysses ,James Joyce ,978-1727252132,694,Novel,A,Mar
Child of God,Cormac Mccarthy ,978-0330510950,193,Novel,A,Mar
Summerwater ,Sarah Moss,978-1529035476,204,Novel,P,Mar
Out of the Wreckage,George Monbiot,978-1786632890,224,Non-Fiction ,A,Mar
Deadeye Dick ,Kurt Vonnegut ,978-0008264321,192,Novel,A,Apr
Spring ,Ali Smith ,978-0241207048,352,Novel,K,Apr
A World In Ruins,James Lacey,978-1908457738,300,Photography,P,Apr
The Granite Mile,Diane Morgan,978-1845023263,190,Non-Fiction ,P,Apr
Hocus Pocus,Kurt Vonnegut ,978-0099877103,288,Novel,A,Apr
Aberdeenshire Tramways,Mike Mitchell,978-1445613826,96,Non-Fiction ,P,Apr
The Edible Woman,Margaret Atwood ,978-0860681298,368,Novel,A,Apr
Sittin' In,Jeff Gold,978-0062914705,250,Non-Fiction ,H,Apr
The Ragged Trousered Philanthropists,Robert Tressell,978-0141187693,784,Novel ,A,Apr
The Driver's Seat,Muriel Spark,978-0141188348,128,Novel,A,Apr
Momento Mori,Muriel Spark,978-0349010342,240,Novel,A,Apr
The Virgin Suicides,Jeffrey Eugenides,978-0007524303,260,Novel,K,May
Young Mungo ,Douglas Stuarr,978-1529068764,400,Novel,A,May
Machines Like Me,Ian Mcewan,978-1529111255,320,Novel,K,May
In A Strange Room ,Damon Galgut ,978-1782396291,192,Novel,A,May
Cakes and Ale,W Somerset Maugham,978-0099282778,224,Novel,A,May
Murphy,Samuel Becket,978-0571244584,224,Novel,A,May
The Whereabouts of Eneas MnNulty,Sebastian Barry,978-0571230143,320,Novel,A,May
Dubliners,James Joyce ,978-1853260483,192,Short Stories,A,Jun
Hamnet,Magge O'Farrell,978-1472223821,384,Novek,A,Jun
On The Road,James Naughtie ,978-1471177446,352,Non-Fiction ,A,Jun
Catch-22,Joseph Heller ,978-0099470465,522,Novel,K,Jun
Frankenstein,Mary Shelley,979-8403614788,200,Novel,A,Jun
The Girls of Slender Means,Muriel Spark ,978-0241963999,144,Novel,A,Jun
Unpresidented ,John Sopel,978-1785944420,400,Non-Fiction ,A,Jun
Shadow Is a Colour (as light is),Michael Langan,978-1839012815,242,Novel,K,Jul
Arctic Summer,Damon Galgut,978-1782391593,368,Novel,A,Jul
Case Study,Graeme Mcrae Burnet,978-1913393441,288,Novel,H,Jul
The Confidential Agent,Graeme Greene,978-0140185386,208,Novel,K,Jul
A Passage To India ,E.M. Forster,978-0241540428,416,Novel,A,Jul
Stoner,John Williams,978-0099561545,305,Novel,K,Jul
The Bachelors,Muriel Spark ,978-1846974298,240,Novel,A,Jul
Arthur And George,Julian Barnes,978-0099492733,512,Novel,A,Jul
Behind The Seams,Esme Young,978-1788704625,288,Autobiography,H,Aug
The Road to Wigan Pier,George Orwell ,978-0141185293,240,Non-Fiction,A,Aug
Zennor In Darkness,Helen Dunmore,978-0670846955,320,Novel,K,Aug
The Bricks That Built The House,Kate Tempest ,978-1408857335,416,Novel,A,Aug
12 Notes on Life and Creativity,Quincy Jones,978-1419752568,256,Non-Fiction ,A,Aug
The Old Ways,Robert Macfarlane,978-0141030586,448,Non-Fiction ,K,Aug
Goodbye to Berlin,Christopher Isherwood,978-0749390549,272,Novel,K,Aug
Satanic Verses,Salmon Rushdie,978-0963270702,560,Novel,A,Sep
Cannabis: Seeing through the smoke ,David Nutt,978-1529360523,288,Non-Fiction ,A,Sep
The Prime of Miss Jean Brodie,Muriel Spark,978-0141181424,144,Novel,A,Sep
The Beginning of Spring.,Penelope Fitzgerald,978-0006543701,258,Novel ,K,Sep
The Human Factor,Graeme Greene,978-0099288527,288,Novel ,A,Sep
Illuminated by Water,Malachy Tallack,978-0857528827,272,Non-Fiction,K,Sep
Instructions for a Heatwave,Maggie O'Farrell,978-0755358793,352,Novel,A,Sep
Breakfast of Champions,Kurt Vonnegut ,978-0099842606,320,Novel ,A,Sep
The Honorary Consul ,Graeme Greene,978-0099478386,304,Novel,A,Sep
A Song For The Dark Times,Ian Rankin,978-1409176978,336,novel,K,Oct
The Mandelbaum Gate,Muriel Spark,978-1844089666,400,Novel,A,Oct
German Expressionist Woodcuts,Shane Weller,978-0486280691,145,Non-Fiction ,P,Oct
Disgrace,J M Coetsee,978-0099289524,220,Novel,K,Oct
Back in the Day,Melvyn Bragg,978-1529394498,416,Memoir,A,Oct
Politically Homeless,Matt Forde,978-1529412796,256,Memoir,A,Oct
The London Overground,iain Sinclair,978-0241971499,272,None ,K,Oct
A Heart Full of Headstones,Ian Rankin ,978-1398709393,320,Fiction ,A,Oct
The Moves That Matter,Jonathan Rowson,978-1526603876,352,Non-Fiction,A,Nov
Too Much and Never Enough,Mary L. Trump,978-1471190162,240,Non-Fiction ,K,Nov
The Prime Ministers,Steve Richards,978-1786495884,528,Non-Fiction ,A,Nov
Runaway,Peter May,978-1782062271,432,Novel,K,Nov
The Human Stain,Philip Roth,978-1784875565,384,Novel,A,Nov
Poor,Caleb Femi,978-0141992150,160,Poetry,A,Nov
Beginners Guide to Stoicism,Matthew Van Natta,978-1641527217,170,Non-Fiction ,A,Nov
Metroland,Julian Barnes,978-0099540069,176,Novel,A,Nov
Giving Up The Ghost,Hilary Mantel,978-0007142729,272,Memoir,A,Nov
Bill Bailey's Remarkable Guide to Happiness,Bill Bailey,978-1529412451,224,Non-Fiction ,A,Dec
The End of the Affair,Graeme Greene ,978-0099478447,192,Novel,K,Dec
Oranges Are Not The Only Fruit ,Jeanette Winterson,978-0435123802,162,Novel,A,Dec
Free Speech and Why It Matters,Andrew Doyle,978-0349135373,144,Non-Fiction ,A,Dec
Control,Adam Rutherford,978-1474622394,288,Non-Fiction ,A,Dec
A Taste for Poison,Neil Bradbury,‎978-0008484583,304,Non-Fiction ,A,Dec
Maybe I Don't Belong Here,David Harewood,‎978-1529064179,256,Memoir,A,Dec
Meantime,Frankie Boyle,‎978-1399801171,368,Novel,K,Dec
Trespasses,Louise Kennedy,‎978-1526623324,320,Novel,A,Dec
My Sister The Serial Killer,Onyinkan Braithwaite,‎978-1786495983,240,Novel,A,Dec
Fight Club,Chuck Palahniuk,‎978-0099765219,224,Novel,A,Dec
The Word for World is Forest,Ursula K Leguinn,‎978-1473205789,144,Novel,A,Dec
Revenge of the Librarians,Tom Gaukd,‎978-1838858216,180,Cartoon ,H,Dec
